Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,
Vietnam,VNM,16.49205813,16.91603429,16.9467572,16.78699806,16.59958831,17.06350426,17.41374543,17.70561308,18.43374604,19.93184595,21.37323604,21.25261633,21.22423969,20.86464347,20.50504725,20.47279647,20.34895346,20.26155384,20.31799271,20.76176347,20.64469313,20.71403232,20.67113878,,
Vanuatu,VUT,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,1.640689089,,
Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,
Tonga,TON,22.22222222,22.22222222,22.22222222,22.22222222,22.22222222,22.22222222,20.83333333,20.83333333,20.83333333,20.83333333,20.83333333,20.83333333,20.83333333,20.83333333,20.83333333,20.83333333,20.83333333,20.83333333,22.22222222,22.22222222,22.22222222,22.22222222,22.22222222,,
Timor-Leste,TMP,8.069939475,8.069939475,8.406186954,8.742434432,8.742434432,8.742434432,8.540685945,8.406186954,8.069939475,8.069939475,9.751176866,9.751176866,10.08742434,11.43241426,11.43241426,11.43241426,10.7599193,10.7599193,10.7599193,10.08742434,10.08742434,10.7599193,10.42367182,,
Thailand,THA,34.27352268,33.74111844,33.44164106,33.00123314,32.9601284,32.41989469,31.7915794,31.18479516,31.05756621,30.64064671,30.49188671,30.12194406,29.75200141,29.75200141,29.75200141,29.75200141,29.75200141,29.84986983,30.72089882,30.84812778,30.84812778,32.41402259,32.90336472,,
Solomon Islands,SLB,0.392997499,0.392997499,0.392997499,0.392997499,0.428724544,0.428724544,0.428724544,0.46445159,0.500178635,0.500178635,0.535905681,0.535905681,0.571632726,0.571632726,0.571632726,0.571632726,0.571632726,0.607359771,0.643086817,0.678813862,0.678813862,0.714540907,0.714540907,,
Singapore,SGP,1.492537313,1.492537313,1.492537313,1.492537313,1.492537313,1.492537313,1.492537313,1.492537313,1.492537313,1.492537313,1.492537313,1.481481481,0.873362445,1.015965167,0.957910015,0.936599424,1.007194245,0.857142857,0.857142857,0.911680912,0.894886364,0.892351275,0.806223479,,
Samoa,WSM,6.713780919,6.007067138,6.007067138,6.007067138,6.007067138,6.007067138,6.007067138,6.007067138,5.759717314,4.946996466,4.946996466,4.593639576,4.593639576,4.240282686,3.886925795,3.674911661,3.533568905,3.180212014,2.791519435,2.826855124,2.826855124,2.826855124,2.826855124,,
Philippines,PHL,18.40225375,18.22785659,18.06016702,17.89247745,17.72478787,17.5570983,17.38940873,17.22171915,17.05402958,16.88298622,16.71529664,16.55096086,16.66834356,17.17141228,16.78572626,17.28879498,17.74155683,18.27816346,18.44585304,17.77509474,18.27816346,18.71415635,18.74769427,,
Papua New Guinea,PNG,0.423972089,0.423972089,0.426180276,0.426180276,0.428388464,0.430596652,0.435013028,0.439429404,0.448262156,0.452678532,0.463719472,0.485801351,0.496842291,0.507883231,0.529965111,0.55204699,0.55204699,0.662456388,0.662456388,0.662456388,0.662456388,0.662456388,0.662456388,,
