Year,Country,Arable-Land
Vietnam,1991,16.49205813
Vietnam,1992,16.91603429
Vietnam,1993,16.9467572
Vietnam,1994,16.78699806
Vietnam,1995,16.59958831
Vietnam,1996,17.06350426
Vietnam,1997,17.41374543
Vietnam,1998,17.70561308
Vietnam,1999,18.43374604
Vietnam,2000,19.93184595
Vietnam,2001,21.37323604
Vietnam,2002,21.25261633
Vietnam,2003,21.22423969
Vietnam,2004,20.86464347
Vietnam,2005,20.50504725
Vietnam,2006,20.47279647
Vietnam,2007,20.34895346
Vietnam,2008,20.26155384
Vietnam,2009,20.31799271
Vietnam,2010,20.76176347
Vietnam,2011,20.64469313
Vietnam,2012,20.71403232
Vietnam,2013,20.67113878
Vanuatu,1991,1.640689089
Vanuatu,1992,1.640689089
Vanuatu,1993,1.640689089
Vanuatu,1994,1.640689089
Vanuatu,1995,1.640689089
Vanuatu,1996,1.640689089
Vanuatu,1997,1.640689089
Vanuatu,1998,1.640689089
Vanuatu,1999,1.640689089
Vanuatu,2000,1.640689089
Vanuatu,2001,1.640689089
Vanuatu,2002,1.640689089
Vanuatu,2003,1.640689089
Vanuatu,2004,1.640689089
Vanuatu,2005,1.640689089
Vanuatu,2006,1.640689089
Vanuatu,2007,1.640689089
Vanuatu,2008,1.640689089
Vanuatu,2009,1.640689089
Vanuatu,2010,1.640689089
Vanuatu,2011,1.640689089
Vanuatu,2012,1.640689089
Vanuatu,2013,1.640689089
Tuvalu,1991,..
Tuvalu,1992,..
Tuvalu,1993,..
Tuvalu,1994,..
Tuvalu,1995,..
Tuvalu,1996,..
Tuvalu,1997,..
Tuvalu,1998,..
Tuvalu,1999,..
Tuvalu,2000,..
Tuvalu,2001,..
Tuvalu,2002,..
Tuvalu,2003,..
Tuvalu,2004,..
Tuvalu,2005,..
Tuvalu,2006,..
Tuvalu,2007,..
Tuvalu,2008,..
Tuvalu,2009,..
Tuvalu,2010,..
Tuvalu,2011,..
Tuvalu,2012,..
Tuvalu,2013,..
Tonga,1991,22.22222222
Tonga,1992,22.22222222
Tonga,1993,22.22222222
Tonga,1994,22.22222222
Tonga,1995,22.22222222
Tonga,1996,22.22222222
Tonga,1997,20.83333333
Tonga,1998,20.83333333
Tonga,1999,20.83333333
Tonga,2000,20.83333333
Tonga,2001,20.83333333
Tonga,2002,20.83333333
Tonga,2003,20.83333333
Tonga,2004,20.83333333
Tonga,2005,20.83333333
Tonga,2006,20.83333333
Tonga,2007,20.83333333
Tonga,2008,20.83333333
Tonga,2009,22.22222222
Tonga,2010,22.22222222
Tonga,2011,22.22222222
Tonga,2012,22.22222222
Tonga,2013,22.22222222
Timor.Leste,1991,8.069939475
Timor.Leste,1992,8.069939475
Timor.Leste,1993,8.406186954
Timor.Leste,1994,8.742434432
Timor.Leste,1995,8.742434432
Timor.Leste,1996,8.742434432
Timor.Leste,1997,8.540685945
Timor.Leste,1998,8.406186954
Timor.Leste,1999,8.069939475
Timor.Leste,2000,8.069939475
Timor.Leste,2001,9.751176866
Timor.Leste,2002,9.751176866
Timor.Leste,2003,10.08742434
Timor.Leste,2004,11.43241426
Timor.Leste,2005,11.43241426
Timor.Leste,2006,11.43241426
Timor.Leste,2007,10.7599193
Timor.Leste,2008,10.7599193
Timor.Leste,2009,10.7599193
Timor.Leste,2010,10.08742434
Timor.Leste,2011,10.08742434
Timor.Leste,2012,10.7599193
Timor.Leste,2013,10.42367182
Thailand,1991,34.27352268
Thailand,1992,33.74111844
Thailand,1993,33.44164106
Thailand,1994,33.00123314
Thailand,1995,32.9601284
Thailand,1996,32.41989469
Thailand,1997,31.7915794
Thailand,1998,31.18479516
Thailand,1999,31.05756621
Thailand,2000,30.64064671
Thailand,2001,30.49188671
Thailand,2002,30.12194406
Thailand,2003,29.75200141
Thailand,2004,29.75200141
Thailand,2005,29.75200141
Thailand,2006,29.75200141
Thailand,2007,29.75200141
Thailand,2008,29.84986983
Thailand,2009,30.72089882
Thailand,2010,30.84812778
Thailand,2011,30.84812778
Thailand,2012,32.41402259
Thailand,2013,32.90336472
Solomon.Islands,1991,0.392997499
Solomon.Islands,1992,0.392997499
Solomon.Islands,1993,0.392997499
Solomon.Islands,1994,0.392997499
Solomon.Islands,1995,0.428724544
Solomon.Islands,1996,0.428724544
Solomon.Islands,1997,0.428724544
Solomon.Islands,1998,0.46445159
Solomon.Islands,1999,0.500178635
Solomon.Islands,2000,0.500178635
Solomon.Islands,2001,0.535905681
Solomon.Islands,2002,0.535905681
Solomon.Islands,2003,0.571632726
Solomon.Islands,2004,0.571632726
Solomon.Islands,2005,0.571632726
Solomon.Islands,2006,0.571632726
Solomon.Islands,2007,0.571632726
Solomon.Islands,2008,0.607359771
Solomon.Islands,2009,0.643086817
Solomon.Islands,2010,0.678813862
Solomon.Islands,2011,0.678813862
Solomon.Islands,2012,0.714540907
Solomon.Islands,2013,0.714540907
Singapore,1991,1.492537313
Singapore,1992,1.492537313
Singapore,1993,1.492537313
Singapore,1994,1.492537313
Singapore,1995,1.492537313
Singapore,1996,1.492537313
Singapore,1997,1.492537313
Singapore,1998,1.492537313
Singapore,1999,1.492537313
Singapore,2000,1.492537313
Singapore,2001,1.492537313
Singapore,2002,1.481481481
Singapore,2003,0.873362445
Singapore,2004,1.015965167
Singapore,2005,0.957910015
Singapore,2006,0.936599424
Singapore,2007,1.007194245
Singapore,2008,0.857142857
Singapore,2009,0.857142857
Singapore,2010,0.911680912
Singapore,2011,0.894886364
Singapore,2012,0.892351275
Singapore,2013,0.806223479
Samoa,1991,6.713780919
Samoa,1992,6.007067138
Samoa,1993,6.007067138
Samoa,1994,6.007067138
Samoa,1995,6.007067138
Samoa,1996,6.007067138
Samoa,1997,6.007067138
Samoa,1998,6.007067138
Samoa,1999,5.759717314
Samoa,2000,4.946996466
Samoa,2001,4.946996466
Samoa,2002,4.593639576
Samoa,2003,4.593639576
Samoa,2004,4.240282686
Samoa,2005,3.886925795
Samoa,2006,3.674911661
Samoa,2007,3.533568905
Samoa,2008,3.180212014
Samoa,2009,2.791519435
Samoa,2010,2.826855124
Samoa,2011,2.826855124
Samoa,2012,2.826855124
Samoa,2013,2.826855124
Philippines,1991,18.40225375
Philippines,1992,18.22785659
Philippines,1993,18.06016702
Philippines,1994,17.89247745
Philippines,1995,17.72478787
Philippines,1996,17.5570983
Philippines,1997,17.38940873
Philippines,1998,17.22171915
Philippines,1999,17.05402958
Philippines,2000,16.88298622
Philippines,2001,16.71529664
Philippines,2002,16.55096086
Philippines,2003,16.66834356
Philippines,2004,17.17141228
Philippines,2005,16.78572626
Philippines,2006,17.28879498
Philippines,2007,17.74155683
Philippines,2008,18.27816346
Philippines,2009,18.44585304
Philippines,2010,17.77509474
Philippines,2011,18.27816346
Philippines,2012,18.71415635
Philippines,2013,18.74769427
Papua.New.Guinea,1991,0.423972089
Papua.New.Guinea,1992,0.423972089
Papua.New.Guinea,1993,0.426180276
Papua.New.Guinea,1994,0.426180276
Papua.New.Guinea,1995,0.428388464
Papua.New.Guinea,1996,0.430596652
Papua.New.Guinea,1997,0.435013028
Papua.New.Guinea,1998,0.439429404
Papua.New.Guinea,1999,0.448262156
Papua.New.Guinea,2000,0.452678532
Papua.New.Guinea,2001,0.463719472
Papua.New.Guinea,2002,0.485801351
Papua.New.Guinea,2003,0.496842291
Papua.New.Guinea,2004,0.507883231
Papua.New.Guinea,2005,0.529965111
Papua.New.Guinea,2006,0.55204699
Papua.New.Guinea,2007,0.55204699
Papua.New.Guinea,2008,0.662456388
Papua.New.Guinea,2009,0.662456388
Papua.New.Guinea,2010,0.662456388
Papua.New.Guinea,2011,0.662456388
Papua.New.Guinea,2012,0.662456388
Papua.New.Guinea,2013,0.662456388
Palau,1991,2.173913043
Palau,1992,2.173913043
Palau,1993,2.173913043
Palau,1994,2.173913043
Palau,1995,2.173913043
Palau,1996,2.173913043
Palau,1997,2.173913043
Palau,1998,2.173913043
Palau,1999,2.173913043
Palau,2000,2.173913043
Palau,2001,2.173913043
Palau,2002,2.173913043
Palau,2003,2.173913043
Palau,2004,2.173913043
Palau,2005,2.173913043
Palau,2006,2.173913043
Palau,2007,2.173913043
Palau,2008,2.173913043
Palau,2009,2.173913043
Palau,2010,2.173913043
Palau,2011,2.173913043
Palau,2012,2.173913043
Palau,2013,2.173913043
Northern.Mariana.Islands,1991,2.173913043
