Discharge Country	Volume	Grade
Singapore	30500.00	Wheat
Sri Lanka	20000.00	Wheat
Singapore	15000.00	Wheat
China	25500.00	Sorghum / Milo
China	4500.00	Barley
Malaysia	25000.00	Wheat
Singapore	20000.00	Wheat
Singapore	33409.00	Barley
Philippines	33670.00	Wheat
China	60000.00	Barley
Singapore	30000.00	Wheat
Bangladesh	47727.00	Wheat
Thailand	25000.00	Wheat
Japan	6300.00	Wheat
Singapore	30000.00	Wheat
India	30000.00	Wheat
Philippines	30000.00	Wheat
India	15000.00	Wheat
Singapore	30000.00	Wheat
United Arab Emirates	23864.00	Wheat
Indonesia	25000.00	Wheat
Indonesia	25000.00	Wheat
China	5000.00	Barley
United Arab Emirates	18370.00	Barley
United Arab Emirates	47380.00	Wheat
China	52500.00	Barley
Japan	28230.00	Wheat
Taiwan	15000.00	Wheat
Bahrain	25000.00	Wheat
Singapore	59682.00	Wheat
Malaysia	30000.00	Wheat
Japan	34364.00	Barley
China	60000.00	Barley
Indonesia	20000.00	Wheat
Malaysia	50000.00	Wheat
South Korea	50000.00	Wheat
Indonesia	20000.00	Wheat
Hong Kong	55841.00	Wheat
China	3364.00	Wheat
China	53637.00	Wheat
Sri Lanka	60000.00	Barley
Indonesia	50000.00	Wheat
Malaysia	25000.00	Wheat
Japan	32500.00	Wheat
Malaysia	25000.00	Wheat
Japan	24999.00	Wheat
Saudi Arabia	60000.00	Barley
Japan	20666.00	Wheat
Indonesia	50000.00	Wheat
Sri Lanka	10000.00	Barley
Oman	19091.00	Barley
Indonesia	50000.00	Wheat
Sri Lanka	50000.00	Barley
Japan	30900.00	Barley
Indonesia	50000.00	Wheat
United Arab Emirates	9000.00	Wheat
Japan	28820.00	Wheat
China	60000.00	Barley
Sri Lanka	60000.00	Barley
Indonesia	25000.00	Wheat
China	44000.00	Barley
South Korea	4500.00	Wheat
Saudi Arabia	31000.00	Barley
South Korea	40500.00	Wheat
Sri Lanka	20000.00	Wheat
Oman	44000.00	Barley
Singapore	14000.00	Wheat
Indonesia	50000.00	Wheat
Sri Lanka	46350.00	Wheat
South Korea	31000.00	Wheat
Japan	22000.00	Barley
Indonesia	10000.00	Wheat
Indonesia	50000.00	Wheat
Malaysia	49000.00	Wheat
Singapore	35000.00	Wheat
Malaysia	13000.00	Wheat
Singapore	25000.00	Wheat
Malaysia	12500.00	Wheat
Vietnam	30600.00	Wheat
Singapore	25000.00	Wheat
Saudi Arabia	35000.00	Barley
Indonesia	50000.00	Wheat
Singapore	44700.00	Wheat
China	35341.00	Wheat
Japan	28671.00	Wheat
Yemen	28600.00	Wheat
United Arab Emirates	20000.00	Wheat
