"Data Source","World Development Indicators",

"Last Updated Date","2016-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","67.38","68.9","67.26","73.15","75.72","74.45","83.05","85.05","87.39","79.17","71.23","83.94","91.25","94.92","97.68","102.93","86.27","96.17","93.01","90.77","88.28","85.69","83.35","81.57","78.14","74.67","75.2","71.58","68.58","68.35","70.27","65.81","71.38","74.83","76.88","78.77","84","89.68","83.11","68.56","73.46","87.81","98.55","89.14","108.19","102.67","120.9","102.58","130.29","125.15","112.85","134.75","134.48","","",
"Angola","AGO","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","40.81","43.53","42.32","45.58","47.11","49.02","50.27","48.97","52.66","53.65","55","52.56","53.88","54.51","45.83","38.12","35.92","34.16","31.09","31.25","28.47","28.49","28.61","28.89","28.85","30.18","30.57","30.53","30.22","29.41","31.43","33.46","32.56","40.17","39.46","39.96","38.35","46.8","43.34","52.79","62.77","74.15","81.4","93.12","101.47","105.41","120.08","132.91","178.7","189.21","209.77","166.41","236.43","","",
"Albania","ALB","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","37.6","41.5","40.23","48.36","43.43","51.77","51.33","53.31","54.57","56.48","57.92","61.18","66.77","68.1","69.48","77.07","81.56","82.71","85.32","80.22","83.89","88.16","98.67","90.17","90.11","91.06","92.61","79.04","93.91","84.31","60.99","66.81","80.47","79","81.28","80.35","82.78","88.78","81.91","85.55","88.51","86.35","91.42","97.76","97.4","104.84","102.16","119.22","127.83","140.65","148.95","163.63","148.74","","",
"Arab World","ARB","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","25.153762960694","29.462016269308","30.2139739185503","30.375788594461","31.7954260966915","28.1465618738379","30.3616952238187","33.241427398426","32.5814641210163","32.8407349917643","36.6108143395262","36.9043289732244","34.5866347245979","38.8331600968081","39.7614996174196","40.1774967990567","38.2250491262581","40.8739842672267","40.6727674399724","44.3193325621167","43.5293919018671","45.1398664335304","45.8544339363137","45.8521861860771","52.6925499761668","55.691657995115","54.5192823553591","57.9406476453883","57.089410859528","60.4428908246548","64.6390110396904","66.4427640823517","66.9250640606873","68.4731197108237","67.8435222745048","82.4526908104568","74.8219942265246","81.2314308547106","80.6921964129439","81.0875845563582","82.7468188981561","88.6219362168561","94.3021051344944","96.317575490207","98.4451775077809","105.237247002012","99.2779661423289","101.396145175606","109.095426830411","105.597143910121","110.93826357818","111.352493062004","115.902368996568","","",
"United Arab Emirates","ARE","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","0.85","0.91","0.97","1.03","1.04","1.4","1.52","1.68","1.95","2.26","2.56","2.25","2.67","4.34","4.56","5.3","6.32","8.77","10.69","12.33","14.07","18.3","20.77","18.58","18.99","18.92","18.09","23.94","28.81","29.82","38.54","51.06","54.33","57.73","70.32","75.77","97.87","98.71","163.41","200.86","113.23","105.66","94.65","105.81","103.56","90.63","90.06","97.1","93.01","98.71","40.16","40.36","42.75","","",
"Argentina","ARG","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","25.67","26.31","29.11","30.91","28.07","29.63","33.62","28.79","30.73","33.59","35.11","31.62","35.88","40.87","38.89","41.73","41.59","44.93","46.87","41.4","46.8","53.71","52.16","54.15","51.72","51.57","50.76","55.84","46.26","53.75","56.27","57.95","54.29","59.65","64.62","67.7","70.55","81.28","82.04","81.52","86.21","86.06","93.74","91.69","103.82","104.5","118.94","113.77","84.78","124.03","126.4","107.95","125.97","","",
"Armenia","ARM","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","","67.3","58.7","72.2","71","73.7","57.1","64.2","62.6","59.05","63.46","62.84","68.49","85.48","105.37","109.15","124.33","126.34","127.29","95.67","","","","","","","","","","","","66.29","57.81","71.3","69.64","72.5","56.23","63.21","61.59","58.11","62.45","61.83","67.46","84.19","107.88","107.93","122.31","116.65","117.82","95.15","114.03","127.59","131.62","","",
"American Samoa","ASM","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","56.36","59.35","63.63","61.25","58.51","60.18","65.56","66.78","73.39","69.94","64.26","63.16","62.21","58.4","57.26","53.81","52.39","49.26","41.29","45.96","45.67","45.77","44.43","42.17","40.72","41.72","38.44","38.38","38.19","42.08","37.49","37.67","40.02","40.96","42.12","46.96","46.95","80.33","62.97","69.42","76.49","79.99","96.26","92.5","107.64","99.87","89.48","99.81","99.49","106.37","95.1","97.89","106.15","","",
